 userid |   ddate    | tpos | lengthh 
    382 | 2014-02-10 |   15 |      16
    382 | 2014-02-14 |   60 |      16
    383 | 2014-02-26 |  166 |      15
    384 | 2014-02-26 |  170 |      18
    385 | 2014-02-11 |   31 |      16
    386 | 2014-02-16 |   88 |      17
    386 | 2014-02-09 |    5 |      17
    387 | 2014-02-24 |  150 |      14
    388 | 2014-02-20 |  100 |      14
    388 | 2014-02-17 |   70 |      14
    389 | 2014-02-24 |  152 |      18
    390 | 2014-02-22 |  127 |      20
    391 | 2014-02-12 |   33 |      13
    392 | 2014-02-15 |   71 |      14
    393 | 2014-02-24 |  162 |      14
    394 | 2014-02-21 |  135 |      16
    394 | 2014-02-11 |   26 |      16
    395 | 2014-02-15 |   60 |      17
    396 | 2014-02-10 |   13 |      18
    397 | 2014-02-10 |   15 |      16
    397 | 2014-02-22 |  144 |      16
    398 | 2014-02-27 |  208 |      17
    399 | 2014-02-25 |  165 |      18
    400 | 2014-02-19 |  112 |      17
    401 | 2014-02-13 |   49 |      17
    402 | 2014-02-09 |    2 |      17
    403 | 2014-02-15 |   81 |      16
    404 | 2014-02-22 |  116 |      17
    404 | 2014-02-26 |  171 |      17
    405 | 2014-02-23 |  131 |      14
    405 | 2014-02-24 |  145 |      14
    406 | 2014-02-14 |   53 |      16
    406 | 2014-02-21 |  124 |      16
    407 | 2014-02-09 |   10 |      16
    408 | 2014-02-17 |   88 |      15
    409 | 2014-02-11 |   28 |      16
    410 | 2014-02-10 |   18 |      16
    411 | 2014-02-25 |  139 |      14
    411 | 2014-02-16 |   60 |      14
    412 | 2014-02-12 |   30 |      15
    413 | 2014-02-14 |   58 |      18
    414 | 2014-02-09 |    6 |      13
    414 | 2014-02-23 |  145 |      13
    414 | 2014-02-21 |  124 |      13
    414 | 2014-02-15 |   60 |      13
    415 | 2014-02-21 |  117 |      16
    416 | 2014-02-19 |   76 |      17
    417 | 2014-02-14 |   60 |      13
    417 | 2014-02-23 |  129 |      13
    417 | 2014-02-09 |    7 |      13
    418 | 2014-02-10 |   17 |      14
    418 | 2014-02-26 |  164 |      14
    419 | 2014-02-23 |  134 |      16
    420 | 2014-02-22 |  111 |      15
    421 | 2014-02-10 |   15 |      18
    422 | 2014-02-24 |  149 |      16
    423 | 2014-02-18 |   82 |      17
    424 | 2014-02-26 |  178 |      15
    425 | 2014-02-13 |   34 |      17
    426 | 2014-02-21 |  128 |      16
    426 | 2014-02-17 |   85 |      16
    427 | 2014-02-14 |   55 |      13
    427 | 2014-02-27 |  182 |      13
    427 | 2014-02-11 |   25 |      13
    428 | 2014-02-17 |   86 |      14
    428 | 2014-02-15 |   62 |      14
    429 | 2014-02-17 |   77 |      17
    430 | 2014-02-10 |   18 |      17
    431 | 2014-02-23 |  140 |      16
    432 | 2014-02-12 |   37 |      16
    433 | 2014-02-14 |   63 |      20
    434 | 2014-02-15 |   68 |      17
    435 | 2014-02-16 |   75 |      15
    436 | 2014-02-16 |   55 |      15
    436 | 2014-02-22 |  118 |      15
    437 | 2014-02-27 |  158 |      15
    438 | 2014-02-13 |   42 |      19
    439 | 2014-02-26 |  161 |      16
    440 | 2014-02-26 |  164 |      14
    441 | 2014-02-20 |  108 |      15
    442 | 2014-02-19 |  103 |      16
    443 | 2014-02-12 |   32 |      16
    444 | 2014-02-15 |   59 |      13
    444 | 2014-02-23 |  135 |      13
    445 | 2014-02-22 |  148 |      16
    445 | 2014-02-14 |   65 |      16
    446 | 2014-02-27 |  200 |      19
    447 | 2014-02-19 |   98 |      21
    448 | 2014-02-14 |   50 |      14
    449 | 2014-02-21 |  109 |      16
    450 | 2014-02-15 |   67 |      16
    451 | 2014-02-17 |   68 |      16
    451 | 2014-02-20 |   94 |      16
    452 | 2014-02-18 |   96 |      16
    453 | 2014-02-24 |  151 |      19
    454 | 2014-02-27 |  179 |      19
    455 | 2014-02-13 |   45 |      17
    456 | 2014-02-20 |  123 |      15
    457 | 2014-02-16 |   77 |      15
    458 | 2014-02-18 |   94 |      16
    458 | 2014-02-23 |  151 |      16
    459 | 2014-02-24 |  136 |      15
    460 | 2014-02-27 |  184 |      18
    461 | 2014-02-13 |   50 |      16
    462 | 2014-02-09 |    6 |      15
    463 | 2014-02-21 |  119 |      16
    464 | 2014-02-09 |   10 |      14
    464 | 2014-02-10 |   24 |      14
    465 | 2014-02-17 |   75 |      15
    466 | 2014-02-10 |   11 |      16
    466 | 2014-02-22 |  118 |      16
    467 | 2014-02-26 |  162 |      16
    468 | 2014-02-22 |  142 |      16
    468 | 2014-02-23 |  158 |      16
    468 | 2014-02-27 |  200 |      16
    469 | 2014-02-22 |  128 |      17
    470 | 2014-02-21 |  116 |      18
    471 | 2014-02-26 |  184 |      15
    472 | 2014-02-23 |  138 |      15
    473 | 2014-02-19 |  102 |      17
    474 | 2014-02-22 |  115 |      18
    475 | 2014-02-21 |  134 |      16
    475 | 2014-02-14 |   56 |      16
    476 | 2014-02-22 |  137 |      18
    477 | 2014-02-10 |   14 |      15
    477 | 2014-02-18 |   99 |      15
    478 | 2014-02-13 |   48 |      16
    479 | 2014-02-19 |  120 |      18
    480 | 2014-02-09 |    8 |      18
    481 | 2014-02-19 |   91 |      15
    482 | 2014-02-27 |  174 |      15
    483 | 2014-02-27 |  180 |      18
    484 | 2014-02-10 |   15 |      18
    485 | 2014-02-09 |    9 |      16
    486 | 2014-02-24 |  144 |      15
    486 | 2014-02-17 |   71 |      15
    487 | 2014-02-12 |   45 |      17
    488 | 2014-02-22 |  129 |      16
    489 | 2014-02-24 |  142 |      13
    489 | 2014-02-17 |   74 |      13
    490 | 2014-02-22 |  141 |      14
    491 | 2014-02-20 |   96 |      19
    492 | 2014-02-15 |   60 |      17
    493 | 2014-02-22 |  127 |      16
    493 | 2014-02-17 |   78 |      16
    494 | 2014-02-11 |   23 |      17
    495 | 2014-02-19 |  101 |      17
    496 | 2014-02-19 |  111 |      15
    497 | 2014-02-21 |  134 |      19
    498 | 2014-02-23 |  134 |      15
    498 | 2014-02-25 |  159 |      15
    499 | 2014-02-19 |  102 |      15
    499 | 2014-02-11 |   30 |      15
    500 | 2014-02-14 |   63 |      17
    501 | 2014-02-12 |   27 |      16
    501 | 2014-02-23 |  140 |      16
    502 | 2014-02-10 |   11 |      16
    503 | 2014-02-19 |  109 |      15
    503 | 2014-02-24 |  153 |      15
    504 | 2014-02-24 |  152 |      15
    504 | 2014-02-22 |  128 |      15
    504 | 2014-02-12 |   37 |      15
    505 | 2014-02-24 |  143 |      15
    505 | 2014-02-14 |   58 |      15
    506 | 2014-02-15 |   73 |      16
    507 | 2014-02-14 |   47 |      17
    508 | 2014-02-16 |   70 |      16
    509 | 2014-02-25 |  164 |      15
    509 | 2014-02-26 |  179 |      15
    510 | 2014-02-23 |  150 |      19
    511 | 2014-02-09 |    6 |      16
    511 | 2014-02-11 |   34 |      16
    512 | 2014-02-23 |  136 |      19
    513 | 2014-02-21 |  140 |      16
    514 | 2014-02-11 |   26 |      13
    514 | 2014-02-18 |   99 |      13
    514 | 2014-02-21 |  131 |      13
    514 | 2014-02-10 |   13 |      13
    515 | 2014-02-13 |   36 |      14
    516 | 2014-02-12 |   38 |      18
    517 | 2014-02-12 |   33 |      18
    518 | 2014-02-25 |  170 |      19
    519 | 2014-02-27 |  155 |      14
    520 | 2014-02-21 |  128 |      15
    521 | 2014-02-23 |  150 |      16
    522 | 2014-02-16 |   63 |      14
    523 | 2014-02-15 |   63 |      15
    524 | 2014-02-15 |   47 |      16
    525 | 2014-02-20 |  112 |      16
    526 | 2014-02-26 |  170 |      15
    527 | 2014-02-19 |  115 |      17
    528 | 2014-02-24 |  162 |      17
    529 | 2014-02-21 |  130 |      17
    529 | 2014-02-27 |  198 |      17
    530 | 2014-02-16 |   78 |      16
    531 | 2014-02-22 |  152 |      19
    532 | 2014-02-11 |   29 |      15
    533 | 2014-02-18 |   86 |      19
    534 | 2014-02-23 |  153 |      15
