 userid |   ddate    | tpos | lengthh 
    322 | 2014-02-13 |   44 |      13
    323 | 2014-02-17 |   72 |      14
    324 | 2014-02-09 |   10 |      14
    325 | 2014-02-17 |   77 |      12
    326 | 2014-02-17 |   80 |      17
    327 | 2014-02-13 |   43 |      12
    328 | 2014-02-14 |   43 |      13
    329 | 2014-02-09 |    4 |      15
    330 | 2014-02-11 |   27 |      14
    330 | 2014-02-12 |   41 |      14
    331 | 2014-02-11 |   18 |      17
    332 | 2014-02-10 |   13 |      13
    332 | 2014-02-12 |   35 |      13
    332 | 2014-02-17 |   83 |      13
    333 | 2014-02-12 |   35 |      13
    334 | 2014-02-09 |    5 |      14
    335 | 2014-02-17 |   65 |      13
    336 | 2014-02-13 |   48 |      13
    336 | 2014-02-14 |   61 |      13
    337 | 2014-02-17 |   79 |      15
    338 | 2014-02-16 |   66 |      16
    339 | 2014-02-09 |    3 |      14
    340 | 2014-02-16 |   63 |      13
    341 | 2014-02-14 |   47 |      16
    342 | 2014-02-12 |   31 |      11
    342 | 2014-02-17 |   74 |      11
    343 | 2014-02-17 |   80 |      16
    344 | 2014-02-14 |   43 |      16
    345 | 2014-02-15 |   71 |      15
    346 | 2014-02-09 |    6 |      15
    346 | 2014-02-17 |   97 |      15
    347 | 2014-02-12 |   30 |      10
    347 | 2014-02-16 |   61 |      10
    348 | 2014-02-14 |   48 |      13
    349 | 2014-02-10 |   13 |      14
    350 | 2014-02-09 |    6 |      14
    351 | 2014-02-11 |   21 |      16
    351 | 2014-02-17 |   85 |      16
    352 | 2014-02-11 |   24 |      14
    352 | 2014-02-13 |   50 |      14
    353 | 2014-02-11 |   32 |      19
    354 | 2014-02-14 |   59 |      15
    355 | 2014-02-17 |   76 |      16
    356 | 2014-02-17 |   87 |      16
    357 | 2014-02-13 |   48 |      16
    358 | 2014-02-10 |   15 |      16
    359 | 2014-02-16 |   77 |      15
    360 | 2014-02-14 |   49 |      12
    361 | 2014-02-11 |   20 |      13
    361 | 2014-02-14 |   48 |      13
    362 | 2014-02-15 |   58 |      15
    363 | 2014-02-11 |   20 |      19
    364 | 2014-02-13 |   49 |      16
    365 | 2014-02-12 |   25 |      15
    366 | 2014-02-15 |   60 |      16
    367 | 2014-02-17 |   69 |      15
    368 | 2014-02-09 |    8 |      14
    368 | 2014-02-17 |   84 |      14
    369 | 2014-02-13 |   45 |      14
    370 | 2014-02-09 |    5 |      12
    370 | 2014-02-10 |   17 |      12
    370 | 2014-02-12 |   30 |      12
    370 | 2014-02-13 |   42 |      12
    371 | 2014-02-13 |   32 |      11
    371 | 2014-02-16 |   63 |      11
    372 | 2014-02-14 |   65 |      14
    373 | 2014-02-12 |   29 |      14
    374 | 2014-02-15 |   70 |      17
    375 | 2014-02-17 |   82 |      14
    376 | 2014-02-10 |   14 |      15
    376 | 2014-02-14 |   56 |      15
    376 | 2014-02-17 |   89 |      15
    377 | 2014-02-13 |   36 |      15
    378 | 2014-02-15 |   51 |      14
    379 | 2014-02-13 |   43 |      18
    380 | 2014-02-12 |   42 |      16
    381 | 2014-02-12 |   40 |      15
    382 | 2014-02-12 |   37 |      13
    383 | 2014-02-16 |   67 |      15
    383 | 2014-02-17 |   82 |      15
    384 | 2014-02-12 |   44 |      19
    385 | 2014-02-10 |   17 |      12
    385 | 2014-02-13 |   45 |      12
    386 | 2014-02-14 |   55 |      14
    387 | 2014-02-09 |    6 |      14
    387 | 2014-02-12 |   43 |      14
    388 | 2014-02-15 |   71 |      16
    389 | 2014-02-12 |   46 |      16
    390 | 2014-02-09 |    2 |      14
    391 | 2014-02-11 |   21 |      15
    392 | 2014-02-15 |   56 |      13
    393 | 2014-02-15 |   59 |      12
    394 | 2014-02-08 |    0 |      12
    395 | 2014-02-12 |   43 |      17
    395 | 2014-02-16 |   85 |      17
    396 | 2014-02-15 |   68 |      16
    397 | 2014-02-17 |   74 |      16
    398 | 2014-02-15 |   53 |      12
    399 | 2014-02-10 |   15 |      15
    400 | 2014-02-11 |   27 |      16
    401 | 2014-02-14 |   55 |      18
    402 | 2014-02-10 |   13 |      12
    402 | 2014-02-14 |   53 |      12
    403 | 2014-02-17 |   80 |      13
    404 | 2014-02-15 |   63 |      15
    405 | 2014-02-09 |    6 |      13
    406 | 2014-02-13 |   47 |      15
    407 | 2014-02-12 |   48 |      15
    408 | 2014-02-11 |   24 |      14
    408 | 2014-02-16 |   78 |      14
    409 | 2014-02-13 |   48 |      15
    410 | 2014-02-09 |    8 |      11
    410 | 2014-02-14 |   52 |      11
    410 | 2014-02-17 |   77 |      11
    411 | 2014-02-12 |   32 |      11
    411 | 2014-02-15 |   60 |      11
    412 | 2014-02-12 |   40 |      14
    412 | 2014-02-17 |  100 |      14
    413 | 2014-02-10 |   18 |      13
    413 | 2014-02-11 |   31 |      13
    414 | 2014-02-16 |   74 |      15
    414 | 2014-02-17 |   89 |      15
    415 | 2014-02-12 |   39 |      17
    416 | 2014-02-12 |   44 |      13
    417 | 2014-02-14 |   54 |      18
    418 | 2014-02-15 |   51 |      15
    419 | 2014-02-15 |   78 |      17
    420 | 2014-02-12 |   38 |      16
    421 | 2014-02-12 |   33 |      13
    422 | 2014-02-09 |   10 |      14
    422 | 2014-02-12 |   39 |      14
    423 | 2014-02-10 |   15 |      15
    423 | 2014-02-11 |   30 |      15
    424 | 2014-02-09 |    6 |      13
    424 | 2014-02-15 |   52 |      13
    425 | 2014-02-11 |   21 |      16
    426 | 2014-02-16 |   58 |      14
    427 | 2014-02-13 |   44 |      12
    427 | 2014-02-17 |   85 |      12
    428 | 2014-02-14 |   54 |      14
    429 | 2014-02-15 |   50 |      12
    430 | 2014-02-14 |   46 |      13
    430 | 2014-02-17 |   79 |      13
    431 | 2014-02-12 |   30 |      16
    431 | 2014-02-14 |   50 |      16
    432 | 2014-02-09 |    6 |      16
    432 | 2014-02-14 |   65 |      16
    433 | 2014-02-14 |   56 |      16
    434 | 2014-02-09 |    7 |      15
    435 | 2014-02-10 |   17 |      15
    436 | 2014-02-17 |   96 |      18
    437 | 2014-02-10 |   14 |      15
    438 | 2014-02-09 |    8 |      13
    439 | 2014-02-16 |   55 |      14
    440 | 2014-02-10 |   18 |      15
    441 | 2014-02-11 |   17 |      18
    442 | 2014-02-17 |   85 |      15
    443 | 2014-02-11 |   15 |      14
    444 | 2014-02-12 |   29 |      14
    444 | 2014-02-14 |   54 |      14
    445 | 2014-02-11 |   36 |      19
    446 | 2014-02-09 |    9 |      13
    446 | 2014-02-15 |   63 |      13
    447 | 2014-02-13 |   46 |      16
    447 | 2014-02-16 |   76 |      16
    448 | 2014-02-10 |   19 |      13
    448 | 2014-02-13 |   50 |      13
    449 | 2014-02-11 |   25 |      15
    449 | 2014-02-15 |   72 |      15
    450 | 2014-02-09 |    8 |      12
    451 | 2014-02-12 |   36 |      16
    451 | 2014-02-15 |   66 |      16
    452 | 2014-02-16 |   57 |      12
    453 | 2014-02-12 |   35 |      14
    454 | 2014-02-09 |    0 |      14
    454 | 2014-02-13 |   43 |      14
    455 | 2014-02-13 |   60 |      15
    456 | 2014-02-15 |   68 |      17
    457 | 2014-02-10 |   18 |      14
    457 | 2014-02-11 |   32 |      14
    457 | 2014-02-14 |   70 |      14
    458 | 2014-02-17 |   80 |      22
    459 | 2014-02-14 |   49 |      12
    459 | 2014-02-15 |   61 |      12
    460 | 2014-02-13 |   39 |      15
    460 | 2014-02-17 |   85 |      15
    461 | 2014-02-11 |   20 |      13
    462 | 2014-02-09 |    9 |      12
    463 | 2014-02-12 |   39 |      14
    464 | 2014-02-16 |   80 |      17
    465 | 2014-02-09 |    4 |      15
    466 | 2014-02-15 |   65 |      19
    467 | 2014-02-13 |   43 |      14
    467 | 2014-02-14 |   57 |      14
    468 | 2014-02-11 |   21 |      13
    469 | 2014-02-09 |    6 |      15
    470 | 2014-02-16 |   57 |      13
    470 | 2014-02-17 |   70 |      13
    471 | 2014-02-14 |   50 |      12
    471 | 2014-02-16 |   72 |      12
    471 | 2014-02-17 |   84 |      12
    472 | 2014-02-17 |   76 |      14
    473 | 2014-02-12 |   27 |      14
    473 | 2014-02-17 |   73 |      14
    474 | 2014-02-15 |   66 |      13
    475 | 2014-02-11 |   21 |      15
    476 | 2014-02-12 |   26 |      17
    477 | 2014-02-10 |   17 |      15
