 userid |   ddate    | tpos | lengthh 
    250 | 2014-02-22 |  138 |      14
    251 | 2014-02-22 |  115 |      18
    252 | 2014-02-10 |   12 |      16
    252 | 2014-02-18 |  100 |      16
    253 | 2014-02-15 |   55 |      16
    254 | 2014-02-14 |   64 |      16
    255 | 2014-02-27 |  174 |      19
    256 | 2014-02-20 |  117 |      14
    256 | 2014-02-15 |   60 |      14
    257 | 2014-02-13 |   32 |      15
    258 | 2014-02-18 |  102 |      16
    259 | 2014-02-25 |  152 |      15
    260 | 2014-02-18 |   93 |      16
    261 | 2014-02-13 |   40 |      18
    262 | 2014-02-15 |   56 |      16
    263 | 2014-02-18 |   93 |      17
    264 | 2014-02-16 |   78 |      17
    265 | 2014-02-25 |  155 |      15
    266 | 2014-02-14 |   61 |      16
    267 | 2014-02-20 |  130 |      15
    268 | 2014-02-23 |  123 |      17
    269 | 2014-02-19 |  112 |      16
    270 | 2014-02-17 |   73 |      18
    271 | 2014-02-20 |  120 |      16
    272 | 2014-02-13 |   40 |      17
    272 | 2014-02-23 |  162 |      17
    273 | 2014-02-18 |   97 |      16
    274 | 2014-02-17 |   74 |      15
    275 | 2014-02-11 |   31 |      15
    276 | 2014-02-16 |   71 |      14
    277 | 2014-02-24 |  137 |      17
    278 | 2014-02-15 |   68 |      17
    278 | 2014-02-19 |  113 |      17
    279 | 2014-02-13 |   42 |      14
    280 | 2014-02-17 |   68 |      16
    281 | 2014-02-17 |   79 |      15
    281 | 2014-02-16 |   64 |      15
    281 | 2014-02-11 |   15 |      15
    282 | 2014-02-11 |   22 |      16
    283 | 2014-02-24 |  149 |      16
    284 | 2014-02-10 |   16 |      15
    284 | 2014-02-16 |   91 |      15
    285 | 2014-02-27 |  173 |      16
    286 | 2014-02-11 |   30 |      15
    287 | 2014-02-13 |   48 |      17
    288 | 2014-02-14 |   45 |      15
    289 | 2014-02-14 |   43 |      14
    289 | 2014-02-20 |  108 |      14
    290 | 2014-02-12 |   39 |      19
    291 | 2014-02-10 |   12 |      19
    292 | 2014-02-10 |   18 |      15
    293 | 2014-02-27 |  159 |      15
    294 | 2014-02-12 |   38 |      13
    295 | 2014-02-12 |   21 |      19
    296 | 2014-02-23 |  155 |      17
    297 | 2014-02-14 |   43 |      15
    298 | 2014-02-11 |   28 |      19
    299 | 2014-02-17 |   76 |      15
    300 | 2014-02-26 |  156 |      16
    301 | 2014-02-19 |  108 |      16
    302 | 2014-02-24 |  155 |      14
    302 | 2014-02-15 |   58 |      14
    303 | 2014-02-09 |    5 |      17
    304 | 2014-02-19 |   91 |      15
    304 | 2014-02-15 |   41 |      15
    305 | 2014-02-09 |    4 |      18
    306 | 2014-02-14 |   54 |      17
    307 | 2014-02-25 |  169 |      19
    308 | 2014-02-25 |  154 |      18
    309 | 2014-02-13 |   37 |      18
    310 | 2014-02-12 |   27 |      14
    311 | 2014-02-15 |   45 |      14
    312 | 2014-02-22 |  114 |      17
    312 | 2014-02-24 |  143 |      17
    313 | 2014-02-22 |  122 |      15
    314 | 2014-02-27 |  170 |      14
    314 | 2014-02-24 |  135 |      14
    315 | 2014-02-14 |   48 |      14
    315 | 2014-02-09 |    6 |      14
    316 | 2014-02-26 |  166 |      18
    317 | 2014-02-27 |  164 |      15
    318 | 2014-02-09 |    8 |      16
    318 | 2014-02-26 |  181 |      16
    319 | 2014-02-19 |  112 |      16
    319 | 2014-02-26 |  202 |      16
    319 | 2014-02-10 |   12 |      16
    320 | 2014-02-17 |   88 |      18
    321 | 2014-02-19 |   90 |      17
    321 | 2014-02-17 |   65 |      17
    322 | 2014-02-10 |   17 |      18
    323 | 2014-02-25 |  168 |      16
    324 | 2014-02-17 |   83 |      17
    325 | 2014-02-14 |   45 |      19
    326 | 2014-02-14 |   53 |      15
    327 | 2014-02-17 |   76 |      15
    328 | 2014-02-23 |  118 |      17
    329 | 2014-02-12 |   35 |      13
    329 | 2014-02-21 |  121 |      13
    330 | 2014-02-25 |  154 |      15
    331 | 2014-02-14 |   64 |      14
    331 | 2014-02-09 |    4 |      14
    332 | 2014-02-09 |    6 |      15
    333 | 2014-02-21 |  122 |      15
    334 | 2014-02-21 |  116 |      16
    335 | 2014-02-11 |   23 |      19
    336 | 2014-02-20 |  114 |      17
    337 | 2014-02-13 |   45 |      18
    338 | 2014-02-11 |   20 |      17
    339 | 2014-02-20 |  109 |      18
    340 | 2014-02-14 |   53 |      14
    340 | 2014-02-15 |   67 |      14
    340 | 2014-02-18 |  100 |      14
    341 | 2014-02-20 |  119 |      15
    342 | 2014-02-16 |   75 |      16
    343 | 2014-02-22 |  125 |      16
    344 | 2014-02-16 |   70 |      16
    345 | 2014-02-15 |   60 |      15
    345 | 2014-02-23 |  134 |      15
    346 | 2014-02-16 |   82 |      16
    347 | 2014-02-19 |  111 |      19
    348 | 2014-02-22 |  131 |      15
    349 | 2014-02-17 |   82 |      16
    350 | 2014-02-13 |   44 |      14
    350 | 2014-02-17 |   84 |      14
    351 | 2014-02-25 |  167 |      18
    352 | 2014-02-27 |  182 |      15
    353 | 2014-02-22 |  134 |      17
    354 | 2014-02-24 |  137 |      16
    354 | 2014-02-26 |  161 |      16
    355 | 2014-02-17 |   79 |      13
    356 | 2014-02-26 |  139 |      15
    357 | 2014-02-16 |   79 |      17
    357 | 2014-02-10 |   11 |      17
    358 | 2014-02-27 |  191 |      15
    358 | 2014-02-12 |   40 |      15
    359 | 2014-02-20 |  101 |      15
    360 | 2014-02-18 |  101 |      14
    360 | 2014-02-23 |  148 |      14
    360 | 2014-02-11 |   24 |      14
    361 | 2014-02-17 |   87 |      15
    361 | 2014-02-13 |   45 |      15
    362 | 2014-02-12 |   30 |      16
    363 | 2014-02-18 |   99 |      16
    364 | 2014-02-18 |   86 |      16
    365 | 2014-02-15 |   70 |      18
    366 | 2014-02-27 |  211 |      19
    367 | 2014-02-23 |  138 |      13
    367 | 2014-02-24 |  151 |      13
    368 | 2014-02-18 |   88 |      16
    369 | 2014-02-12 |   45 |      18
    370 | 2014-02-13 |   49 |      15
    370 | 2014-02-18 |   94 |      15
    371 | 2014-02-16 |   73 |      15
    372 | 2014-02-12 |   43 |      15
    373 | 2014-02-20 |  120 |      18
    374 | 2014-02-19 |  118 |      17
    375 | 2014-02-18 |   97 |      18
    376 | 2014-02-18 |   92 |      16
    377 | 2014-02-11 |   24 |      14
    378 | 2014-02-27 |  181 |      15
    378 | 2014-02-09 |    6 |      15
    379 | 2014-02-27 |  180 |      16
    380 | 2014-02-24 |  135 |      18
    381 | 2014-02-23 |  131 |      14
    382 | 2014-02-16 |   86 |      21
    383 | 2014-02-09 |    5 |      19
    384 | 2014-02-19 |  104 |      17
    385 | 2014-02-27 |  175 |      17
    386 | 2014-02-22 |  112 |      14
    387 | 2014-02-17 |   60 |      19
    388 | 2014-02-16 |   86 |      16
    388 | 2014-02-15 |   70 |      16
    389 | 2014-02-17 |   72 |      15
    390 | 2014-02-19 |  106 |      17
    391 | 2014-02-20 |  122 |      15
    392 | 2014-02-16 |   73 |      15
    392 | 2014-02-18 |   98 |      15
    393 | 2014-02-23 |  143 |      21
    394 | 2014-02-17 |   78 |      12
    395 | 2014-02-27 |  167 |      13
    395 | 2014-02-17 |   71 |      13
    396 | 2014-02-16 |   81 |      16
    397 | 2014-02-14 |   53 |      15
